0--INFINITYM_BELOW_GROUND      地表下0米至无穷远
MOMENTUM_FLUX_U-COMPONENT      U分量动量通量
MOMENTUM_FLUX_V-COMPONENT      V分量动量通量
MPV_HOR      湿位涡水平分量
MPV_VER      湿位涡垂直分量
MSLP_(ETA_MODEL_REDUCTION)      海平面气压(ETA_MODEL_REDUCTION)
MULTI_MODEL_RAIN06      多模式动态权重集成6小时定量降水
MWD      平均波向
MWD_UNCLIPPED      平均波向(未裁剪)
MWP      平均波周期
MWP_UNCLIPPED      平均波周期(未裁剪)
NATURAL_LOGARITHM_OF_PRESSURE_IN_PA      地面气压对数
NCEP_ENSEMBLE      NCEP集合预报
NCEP_ENSEMBLE_PRODUCT      NCEP集合预报
NCEP_GFS      NCEP全球模式
NCEP_GFS_HR      NCEP全球模式高分辨率
NCEP_GFS_LR      NCEP全球模式低分辨率
NCEP_WAVE      NCEP海浪模式
NEGATIVE_TWENTY_DEGREE_LEVEL      -20度层高度
NET_LONG_WAVE_RADIATION_FLUX      地表热辐射
NET_SHORT_WAVE_RADIATION_FLUX      地表太阳辐射
NET_SHORT_WAVE_RADIATION_FLUX_CLEAR_SKY      晴空净短波辐射通量
NMC      中央台
OCA      海洋气溶胶
OCAAOD_0      海洋气溶胶_0
OCAAOD_1      海洋气溶胶_1
OCAAOD_2      海洋气溶胶_2
OCAAOD_3      海洋气溶胶_3
OCAAOD_4      海洋气溶胶_4
OCAAOD_5      海洋气溶胶_5
OCAAOD_6      海洋气溶胶_6
OCAASI      海洋气溶胶ASI
OCACMR      海洋气溶胶CMR
OCAFMR      海洋气溶胶FMR
OHP      一小时累积降水
OLR      射出长波辐射
OROGRAPHY      地形
OZONE_MIXING_RATIO      臭氧混合比
PEAK_DIRECTION      谱峰方向
PEAK_FREQUENCY      谱峰频率
PER_CENT_FROZEN_PRECIPITATION      冻雨百分比
PLANETARY_BOUNDARY      行星边界
PLANETARY_BOUNDARY_LAYER_HEIGHT      行星边界层高度
PLANT_CANOPY_SURFACE_WATER      植被地表水
PLOT      填图
PLOT_10MIN      国家站区域站10分钟地面填图
PLOT_5MIN      国家站区域站5分钟地面填图
PLOT_ALL      国家站区域站1小时自动站填图
PLOT_GLOBAL_1H      全球1小时地面填图
PLOT_GLOBAL_3H      全球3小时地面填图
PLOT_GLOBAL_ALL_1H      全球站1小时填图(包括字符站号)
PLOT_GLOBAL_ALL_3H      全球站3小时填图(包括字符站号)
PLOT_METAR      METAR填图
PLOT_NATIONAL      国家站3小时地面填图
PLOT_NATIONAL_1H      国家站1小时地面填图
PLPL      气块抬升起始气压(层)
PM25_1H      1小时PM2.5填图
POTENTIAL_EVAPORATION_RATE      潜在蒸发率
PRAT      降水率
PRECIPITATION_TYPE      降水相态
PRECIPITATION_TYPE_UNCLIPPED      降水相态(未裁剪)
PRES      气压
PRES_ALL_STATION      国家站区域站气压
PRES_CHANGE_24H_GLOBAL_STATION      全球站24小时变压
PRES_CHANGE_24H_NATIONAL      国家站24小时变压
PRES_CHANGE_3H_GLOBAL_STATION      全球站3小时变压
PRES_CHANGE_3H_NATIONAL      国家站3小时变压
PRES_GLOBAL_STATION      全球站地面气压
PRES_NATIONAL      国家站气压
PRE_QC      雷达质量控制前数据
PRIMARY_SWELL_WAVE_HEIGHT      基础涌浪波高
PRIMARY_SWELL_WAVE_LENGTH      基础涌浪平均波长
PRIMARY_WAVE_DIRECTION      基础涌浪平均浪向
